full_name,channel
Allison Chinchar,cnn
Jenna Wells,cnn
David Schuman,cnn
Barack Obama,cnn
Donald Trump,cnn
Hillary Clinton,cnn
Devan Cole Oliver Darcy,cnn
Bill Lunn,cnn
Dana Santas,cnn
Borghese Amandine Hess,cnn
Amandine Hess,cnn
Hannah Diviney,cnn
Jamie Ueda,cnn
Jennifer Korn Clare Duffy,cnn
Angela Fritz Judson Jones,cnn
Jessica Schneider,cnn
Sydni Edwards,cnn
Aaron David Miller,cnn
Terence Burlij,cnn
Madeline Bartos,cnn
Rebekah Riess Raja Razek Jarrod Wardwell,cnn
Annie Rose Ramos,cnn
Darren Lewis Ben Morse,cnn
Darren Lewis,cnn
Erin Jones,cnn
Cayson Frerichs,cnn
Matt Friedman,cnn
Kathleen Toner,cnn
Paul Leblanc Sonnet Swire,cnn
Virginia Langmaid,cnn
Kocha Olarn,cnn
Matt Petrillo,cnn
Steve Almasy Claudia Dominguez,cnn
Angelova Zahra Ullah,cnn
Julianne Ross,cnn
Jenna Deangelis,cnn
Jenna Deangelis Is,cnn
Tara John Angela Dewan,cnn
Gabe Cohen,cnn
Ariana Arghandewal,cnn
Elizabeth Joseph,cnn
David Culver,cnn
Elizabeth Sepper,cnn
Jonny Hallam,cnn
Josh Owens,cnn
Laura Ly Kiely,cnn
John Duffy,cnn
Upasna Gautam,cnn
Dana Peterson,cnn
Zenebou Sylla,cnn
Kennedi Walker,cnn
Sahar Akbarzai Patrick Oppmann,cnn
Jason Kravarik,cnn
Chloe Melas Zoe Sottile,cnn
Kiana Murden,cnn
Eric Kutscher,cnn
Wesley Bruer,cnn
Raja Razek Christina Maxouris,cnn
Margaret Dawson,cnn
Cassie Spodak,cnn
Channon Hodge,cnn
Jamie Gangel Whitney Wild,cnn
Tina Burnside Kiely,cnn
Olga Voitovych Sana Noor Haq,cnn
